ROUTE,COUNTY,POST_MILE,YEAR,AM_DIR,AM_PEAK_VOL_PEAK_DIR,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
191,BUT,11.386,15,S,526,7.88,71.76,5.65,7,THU,MAR,N,531.00,9.89,57.72,5.71,16,TUE,MAR
192,SB,0.019,15,W,750,11.76,51.51,6.06,8,WED,FEB,E,855.00,12.84,53.81,6.91,17,WED,JUN
192,SB,4.15,15,W,138,9.59,56.33,5.4,8,TUE,MAR,E,215.00,10.77,78.18,8.42,16,SUN,JUN
192,SB,11.8,15,W,384,21.51,83.66,17.99,8,MON,SEP,E,286.00,16.31,82.18,13.4,16,FRI,SEP
192,SB,17.44,15,W,509,19.14,81.05,15.51,7,THU,SEP,E,223.00,10.73,63.35,6.8,17,FRI,JUN
192,SB,17.44,15,W,801,24.81,76,18.85,7,THU,MAR,E,348.00,11.74,69.74,8.19,16,FRI,JUN
197,DN,0,17,N,208,13.79,61.36,8.46,11,SAT,JUL,N,221.00,14.28,62.96,8.99,14,SAT,AUG
198,MON,0.111,15,E,168,11.15,72.1,8.04,6,MON,OCT,W,128.00,9.52,64.32,6.12,16,MON,JUL
198,MON,13.995,15,E,44,10.04,60.27,6.05,11,SUN,OCT,E,51.00,13.34,52.58,7.02,16,SUN,JUL
198,FRE,21.19,17,E,70,6.89,98.59,6.8,3,SAT,SEP,W,96.00,13.59,68.57,9.32,15,FRI,SEP
198,FRE,22.66,17,W,92,8.33,57.86,4.82,7,THU,JUN,E,113.00,7.7,76.87,5.92,22,THU,JUN
198,FRE,26.782,17,E,196,7.49,63.23,4.73,12,THU,MAR,E,310.00,10.77,69.51,7.49,16,TUE,MAR
198,KIN,3.011,17,W,886,7.77,88.07,6.84,6,MON,JUL,E,1036.00,10.12,79.08,8,16,TUE,MAY
198,KIN,3.011,17,W,262,7.45,70.05,5.22,7,MON,OCT,E,334.00,9.56,69.58,6.65,16,THU,OCT
198,KIN,8.897,17,W,1398,8.49,83.02,7.05,6,WED,APR,E,1523.00,10.42,73.75,7.68,16,THU,APR
198,KIN,8.897,17,W,1297,8.61,67.84,5.84,7,TUE,MAY,E,1481.00,9.66,69.08,6.67,16,THU,AUG
198,KIN,10.561,17,W,1315,6.9,76.41,5.27,6,THU,SEP,E,1465.00,9.4,62.5,5.87,16,THU,JUN
198,KIN,15.745,17,W,1482,7.13,53.72,3.83,7,THU,DEC,E,1939.00,8.85,56.63,5.01,16,TUE,MAY
198,KIN,16.91,17,E,1417,7.33,51.03,3.74,12,FRI,JUN,E,1839.00,8.86,54.8,4.86,15,FRI,SEP
198,KIN,20.975,17,W,1476,8.74,58.04,5.07,6,MON,NOV,E,1519.00,9.43,55.36,5.22,16,WED,AUG
198,KIN,20.98,17,W,1349,8.82,57.28,5.05,7,TUE,OCT,E,1377.00,9.34,55.21,5.16,16,THU,APR
198,TUL,3.711,17,W,1521,9.11,58.21,5.3,7,THU,AUG,E,1540.00,9.73,55.2,5.37,16,FRI,SEP
198,TUL,4.796,17,W,3024,9.29,53.01,4.92,7,WED,AUG,E,3375.00,9.85,55.78,5.49,17,THU,APR
198,TUL,7.76,17,W,3295,9.21,55.12,5.08,7,TUE,OCT,E,3506.00,9.52,56.77,5.4,16,THU,APR
198,TUL,8.753,17,W,3339,8.94,53.54,4.79,7,TUE,DEC,E,3686.00,9.69,54.54,5.28,17,TUE,JAN
198,TUL,18.761,17,W,1183,9.56,53.9,5.15,7,THU,SEP,E,1123.00,9.31,52.53,4.89,16,FRI,MAY
198,TUL,19.762,17,E,523,10.66,64.25,6.85,10,SAT,JUL,E,458.00,11.04,54.33,6,13,SUN,JUL
198,TUL,27.96,17,E,458,12.99,69.71,9.06,11,SAT,JUL,W,426.00,11.06,76.21,8.43,18,SUN,JUL
198,TUL,27.96,17,E,498,13.52,73.24,9.9,10,SAT,JUL,W,484.00,13.38,71.92,9.62,17,SUN,JUL
198,TUL,42.35,17,E,338,17.63,81.06,14.29,10,SAT,JUL,W,286.00,14.84,81.48,12.09,17,SUN,JUL
199,DN,4.16,17,S,308,11.56,64.57,7.46,12,TUE,AUG,N,318.00,15,51.37,7.7,13,SUN,JUN
200,HUM,0,17,W,121,8,60.2,4.81,8,TUE,OCT,E,148.00,10.38,56.71,5.89,17,TUE,OCT
201,FRE,0,17,W,575,7.63,55.5,4.23,11,SAT,MAY,W,612.00,8.38,53.78,4.5,15,THU,MAY
201,TUL,1.4,17,W,351,9.25,56.89,5.26,6,TUE,MAR,E,434.00,11.18,58.18,6.5,16,THU,NOV
201,TUL,13.97,17,W,92,10.65,77.31,8.24,5,SAT,JUN,E,91.00,11.28,72.22,8.15,15,WED,JUN
201,TUL,13.98,17,E,274,8.71,63.43,5.52,5,MON,SEP,E,318.00,10.16,63.1,6.41,17,WED,DEC
201,TUL,23.957,17,W,88,8.87,74.58,6.61,6,TUE,APR,E,92.00,11.35,60.93,6.91,16,TUE,OCT
202,KER,2.16,17,W,567,7.67,73.35,5.62,5,WED,JUN,E,621.00,11.57,53.21,6.16,15,FRI,SEP
202,KER,5.5,17,W,527,7.57,72.49,5.49,5,THU,JUN,W,622.00,8.85,73.18,6.47,17,WED,MAR
202,KER,8.87,17,W,682,8.42,54.69,4.61,12,FRI,JUN,W,821.00,10.07,55.06,5.54,14,FRI,SEP
202,KER,12.008,17,E,789,7.88,75.21,5.93,6,FRI,MAR,W,888.00,10.21,65.39,6.67,16,THU,MAR
203,MNO,4.47,17,W,559,14.57,84.31,12.29,6,MON,JUL,E,601.00,16.04,82.33,13.21,15,SAT,FEB
203,MNO,5.75,17,E,873,12.98,51.69,6.71,10,FRI,AUG,E,874.00,10.56,63.61,6.72,15,SUN,MAR
203,MNO,6.866,17,E,620,12.65,65.26,8.26,8,MON,AUG,E,555.00,10.32,71.61,7.39,13,SUN,FEB
203,MNO,8.56,17,E,785,12.33,75.63,9.33,9,SUN,AUG,W,677.00,13.15,61.16,8.04,15,SAT,MAY
204,KER,2.069,15,N,1449,6.84,63.25,4.33,7,MON,SEP,N,1590.00,9.43,50.33,4.75,17,THU,DEC
204,KER,6.258,15,S,2418,10.62,56.55,6,7,THU,MAR,N,2232.00,10.43,53.16,5.54,16,TUE,MAR
204,KER,6.752,15,S,2001,10.96,66.79,7.32,7,WED,SEP,S,1590.00,9.94,58.56,5.82,15,WED,SEP
205,SJ,8.127,16,W,5000,4.49,85.81,3.85,4,WED,JUN,E,5091.00,6.4,61.29,3.92,15,WED,DEC
210,LA,3.57,16,E,4716,7.92,62.58,4.96,7,THU,FEB,W,4464.00,8.61,54.49,4.69,17,FRI,APR
210,LA,17.7,15,E,9561,7.4,69.52,5.14,6,MON,APR,W,10066.00,8.81,61.47,5.42,17,THU,OCT
210,LA,42.661,15,W,8832,6.88,51.19,3.52,11,SAT,AUG,E,8959.00,6.47,55.21,3.57,15,TUE,MAY
210,LA,46.207,17,W,7473,6.3,60.77,3.83,7,TUE,MAY,W,6836.00,6.9,50.74,3.5,13,SUN,APR
210,LA,51.849,15,W,6965,6.39,62.97,4.03,7,THU,SEP,E,7255.00,6.64,63.19,4.19,16,THU,NOV
210,SBD,0,17,W,7078,6.38,62.1,3.96,7,FRI,FEB,E,6755.00,6.48,58.36,3.78,15,WED,DEC
210,SBD,31.7,17,E,3793,7.17,53.81,3.86,7,FRI,APR,E,3547.00,7.18,50.27,3.61,17,TUE,OCT
211,HUM,77.05,16,N,308,9.76,55.6,5.43,8,WED,APR,S,331.00,9.96,58.58,5.83,13,SAT,OCT
215,RIV,15.515,17,S,4887,6.76,61,4.12,7,WED,JUN,N,4938.00,7.58,55,4.17,17,FRI,JUN
215,RIV,38.339,17,N,8269,6.04,57.98,3.5,12,SAT,JUL,N,8997.00,6.34,60.14,3.81,17,THU,MAR
215,SBD,14.104,17,S,3132,7.09,65.21,4.62,7,THU,MAR,N,3068.00,7.75,58.45,4.53,17,TUE,APR
