DI,RTE,CO,PRE,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
01,001,MEN,,90.630,999,B,16,N,73,22.120,60.330,13.350,12,MON,AUG,S,93,25.410,66.910,17.000,14,SUN,AUG
01,001,MEN,,105.480,764,B,17,S,82,17.010,62.120,10.570,12,WED,AUG,N,87,19.850,56.490,11.210,15,WED,AUG
07,002,LA,R,20.574,243,O,16,W,7348,8.730,70.820,6.180,8,TUE,SEP,E,"7,042",9.490,62.410,5.920,16,TUE,APR
07,002,LA,R,21.900,903,B,15,W,7587,9.100,69.940,6.360,7,WED,APR,E,"7,451",9.650,64.730,6.250,17,THU,APR
02,003,TRI,L,0.000,101,A,15,S,40,11.290,57.970,6.550,11,THU,NOV,N,39,10.310,61.910,6.380,13,FRI,NOV
02,003,TRI,,7.200,102,O,15,N,153,12.460,52.220,6.510,11,FRI,MAY,S,148,12.000,52.480,6.300,14,FRI,MAY
02,003,TRI,L,30.889,103,B,15,N,97,9.070,69.780,6.330,8,TUE,MAY,S,85,8.870,62.500,5.540,17,FRI,MAY
02,003,TRI,,30.860,104,A,15,S,252,12.670,57.270,7.260,12,WED,NOV,S,227,11.380,57.470,6.540,15,THU,NOV
02,003,TRI,,37.900,105,B,15,N,60,10.010,57.690,5.770,12,FRI,MAY,N,84,12.220,66.140,8.080,16,FRI,SEP
02,003,TRI,,59.640,226,B,15,S,33,9.370,67.350,6.310,9,THU,NOV,S,47,12.050,74.600,8.990,16,SAT,MAY
02,003,SIS,,8.800,106,A,17,N,32,12.830,66.670,8.560,9,SAT,AUG,S,33,13.900,63.460,8.820,14,THU,AUG
02,003,SIS,,32.200,224,A,17,N,264,9.830,64.390,6.330,7,MON,MAY,S,248,9.400,63.270,5.950,17,TUE,FEB
02,003,SIS,,44.670,237,O,17,N,192,8.660,72.180,6.250,7,TUE,NOV,S,212,10.450,66.040,6.900,17,TUE,AUG
02,003,SIS,R,47.264,107,B,17,S,866,10.900,51.360,5.600,12,FRI,FEB,N,815,10.430,50.530,5.270,15,FRI,NOV
02,003,SIS,L,49.207,189,B,17,N,482,10.210,50.310,5.140,12,WED,MAY,N,566,9.770,61.720,6.030,17,WED,MAY
02,003,SIS,R,47.380,108,A,17,S,233,8.510,80.070,6.810,7,WED,NOV,N,212,10.000,61.990,6.200,16,THU,NOV
